SF_ID,OTHER_ID,SF_NAME,SF_TYPE_CD,SF_TYPE,SF_STATUS_CD,SF_STATUS,SF_PRIORITY_CD,SF_PRIORITY,SF_PROBLEM_CODE,SF_PROBLEM_CODE_DESCRIPTION,HEIGHT_FT,VOLUME_CY,FLOW_GPM,KEYWORDS,SHAPEAREA,SHAPELEN,OBJECTID
814978,1758-01,1758-01,RFSPL,Refuse Pile,ABAND,Abandoned,2,Health or Safety Impact,41,41 Refuse Pile,20,54000,,DPE,31097.468500415,688.689927233661,11016107
814981,1759-01,1759-01,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,,21878.9201183,544.454182597174,11016108
814982,1759-02,1759-02,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,,21733.0553376,533.371650684871,11016109
814983,1759-03,1759-03,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,,29229.13348819,610.908191517842,11016110
814984,1759-04,1759-04,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,,23265.15871096,550.27494268222,11016111
814985,1759-05,1759-05,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,,18732.467892165,496.568221444354,11016112
814986,1759-06,1759-06,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,15,0,,,28735.654443865,742.394675185298,11016113
814987,1759-07,1759-07,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,30,0,,,47649.14707779,1070.73772157588,11016114
814988,1759-08,1759-08,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,15,0,,,12559.236926045,820.127547816677,11016115
814989,1759-09,1759-09,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,40,0,,,16763.74270321,675.76468498697,11016116
814990,1759-10,1759-10,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,40,0,,,24450.010366855,893.871567191484,11016117
814991,1759-11,1759-11,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,35,0,,,14923.42315648,812.989105236512,11016118
814992,1759-12,1759-12,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,35,0,,,62491.30030511,1117.19213605006,11016119
814993,1759-13,1759-13,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,25,0,,,8490.9360383,449.022392814408,11016120
814994,1759-14,1759-14,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,35,0,,,12518.240577085,688.648754936689,11016121
814996,1760-01,1760-01,SUB,Subsidence Area,ABAND,Abandoned,UNDET,Priority has not been determined,53,53 Suspected Subsidence Prone Area,0,0,,,222365.520125145,1853.13848572768,11016122
814997,1760-02,1760-02,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,20,0,,,23384.28544961,577.00417969455,11016123
814998,1760-03,1760-03,ACSM,Coal Surface Mine,ABAND,Abandoned,UNDET,Priority has not been determined,20,20 Dry Strip Mine,20,0,,,29743.680380075,636.952329755882,11016124
814999,1760-04,1760-04,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,45,0,,DH,110876.866212845,4748.04041979464,11016125
815000,1760-05,1760-05,ACSM,Coal Surface Mine,COM,Reclamation Complete,2,Health or Safety Impact,20,20 Dry Strip Mine,35,0,,DH,118094.42113889,3097.99432611981,11016126
815001,1760-06,1760-06,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,3,0,,SA,97292.96031362,3107.76669810832,11016127
815002,1760-07,1760-07,SPOIL,Spoil Area,ABAND,Abandoned,UNDET,Priority has not been determined,22,22 Spoil Pile,15,0,,,48007.461716035,829.465449341349,11016128
815003,1760-08,1760-08,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,45,0,,SA,44493.587104795,1104.64466137916,11016129
815004,1760-09,1760-09,ACSM,Coal Surface Mine,COM,Reclamation Complete,3,Environmental Impact,20,20 Dry Strip Mine,45,0,,SA,65604.446482425,1180.66698848979,11016130
815005,1760-10,1760-10,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,12,0,,DH,5556.25448708,281.813547662944,11016131
815006,1760-11,1760-11,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,25,0,,"IRW, DH",3933.52386375,265.555113699214,11016132
815007,1760-12,1760-12,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,35,0,,DH,8539.418608035,348.877789199654,11016133
815008,1760-13,1760-13,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,30,0,,DH,4310.573061835,290.35162498726,11016134
815009,1760-14,1760-14,ACSM,Coal Surface Mine,ABAND,Abandoned,2,Health or Safety Impact,20,20 Dry Strip Mine,50,0,,DH,8779.48014972,371.239804759613,11016135
815010,1761-01,1761-01,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,30,48000,,,21788.521862125,1006.94695784186,11016136
815011,1761-02,1761-02,SPOIL,Spoil Area,ABAND,Abandoned,3,Environmental Impact,22,22 Spoil Pile,25,67000,,,33540.435033705,768.251912436323,11016137
815012,1761-03,1761-03,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,30,32000,,,14852.053317895,475.111247402145,11016138
815013,1761-04,1761-04,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,25,40000,,,24562.62653895,708.362385403779,11016139
815014,1761-05,1761-05,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,20,20 Dry Strip Mine,30,81000,,,46782.04097673,1809.00276040377,11016140
815015,1761-06,1761-06,SPOIL,Spoil Area,ABAND,Abandoned,3,Environmental Impact,22,22 Spoil Pile,25,81000,,,56081.38032689,1382.05218885046,11016141
815016,1761-07,1761-07,ACSM,Coal Surface Mine,ABAND,Abandoned,3,Environmental Impact,21,21 Flooded Strip Mine,25,27000,,,11515.762434295,472.811904061114,11016142
